(0.0, 0.0, 91.47547920650565)	(0.0, 0.0, -424.9250830283263)
(0.0, 0.0, 714.7955926428345)	(0.0, 0.0, -320.77799598439753)
(0.0, 0.0, 127.0174567949667)	(0.0, 0.0, -700.2748497457051)
(0.0, 0.0, 582.6434440190238)	(0.0, 0.0, -535.4062758978876)
(0.0, 0.0, 102.03158606509847)	(0.0, 0.0, 201.99975725968753)
(0.0, 0.0, 571.6690717088132)	(0.0, 0.0, 135.81605175096448)
(0.0, 0.0, 424.5080232565526)	(0.0, 0.0, 126.0876740244125)
(0.0, 0.0, 378.4093166971993)	(0.0, 0.0, 139.342143791887)
(0.0, 0.0, -1130.2920443223368)	(0.0, 0.0, -591.8360477999338)
(0.0, 0.0, -712.4824875683203)	(0.0, 0.0, -25.74057001371549)
(0.0, 0.0, 293.768884479119)	(0.0, 0.0, -368.0049521897825)
(0.0, 0.0, 429.4154856698173)	(0.0, 0.0, -716.0649184492495)
(0.0, 0.0, 236.31076444500363)	(0.0, 0.0, 139.13781516058648)
(0.0, 0.0, 417.9593947739497)	(0.0, 0.0, -464.81666980686106)
(0.0, 0.0, 456.20735431808026)	(0.0, 0.0, 99.95865535464458)
(0.0, 0.0, 502.4571626197643)	(0.0, 0.0, 35.88677205203825)
(0.0, 0.0, -82.40207197367461)	(0.0, 0.0, 103.4953359177094)
(0.0, 0.0, -101.65535451707608)	(0.0, 0.0, -169.23264371852704)
(0.0, 0.0, 154.10461887793443)	(0.0, 0.0, 218.5949263381115)
(0.0, 0.0, 545.2071423770717)	(0.0, 0.0, 154.365932366831)
(0.0, 0.0, 647.9197093285815)	(0.0, 0.0, 166.51832362984715)
(0.0, 0.0, 1077.585595170483)	(0.0, 0.0, -789.9550356560388)
(0.0, 0.0, -355.6120647197306)	(0.0, 0.0, 518.8435092073775)
(0.0, 0.0, 101.4224907218535)	(0.0, 0.0, -61.08510333445433)
(0.0, 0.0, 192.55471661408262)	(0.0, 0.0, 420.85013994222)
(0.0, 0.0, 848.6559849801175)	(0.0, 0.0, -491.3085956231785)
(0.0, 0.0, -70.47941806897772)	(0.0, 0.0, -439.33291513376537)
(0.0, 0.0, -113.11888720227438)	(0.0, 0.0, -186.73091782167052)
(0.0, 0.0, 786.8180988575144)	(0.0, 0.0, 125.63465267482997)
(0.0, 0.0, 209.74557730778588)	(0.0, 0.0, -729.3326478823756)
(0.0, 0.0, 156.05827690347598)	(0.0, 0.0, -533.7201024691584)
(0.0, 0.0, 436.08680780352665)	(0.0, 0.0, -268.68756980984114)
(0.0, 0.0, -669.4403626881677)	(0.0, 0.0, -519.2009589122126)
(0.0, 0.0, 370.4762313547501)	(0.0, 0.0, -1045.0085517959933)
(0.0, 0.0, 495.1691880814647)	(0.0, 0.0, -231.14982526136865)
(0.0, 0.0, -420.10233183773875)	(0.0, 0.0, 145.11791187093257)
(0.0, 0.0, -409.3438936226061)	(0.0, 0.0, -74.14200395315203)
(0.0, 0.0, -77.56827303245507)	(0.0, 0.0, -194.7502707975557)
(0.0, 0.0, 316.9096383269734)	(0.0, 0.0, -335.61491487564444)
(0.0, 0.0, 95.52568481627375)	(0.0, 0.0, 556.2479156643585)
(0.0, 0.0, 182.4089397534584)	(0.0, 0.0, -78.12092861761991)
(0.0, 0.0, 197.2516628978724)	(0.0, 0.0, -80.42848109341529)
(0.0, 0.0, -725.9033830073963)	(0.0, 0.0, 168.31862191749693)
(0.0, 0.0, -295.7731693322948)	(0.0, 0.0, 415.06243837004496)
(0.0, 0.0, -327.5777058658429)	(0.0, 0.0, 219.86555146482405)
(0.0, 0.0, 174.55601675623612)	(0.0, 0.0, 93.31435032274898)
(0.0, 0.0, 393.20714487757033)	(0.0, 0.0, 447.50347308076846)
(0.0, 0.0, 180.8376307050388)	(0.0, 0.0, 235.9032953148893)
(0.0, 0.0, 111.30395394832051)	(0.0, 0.0, -134.17015819137157)
(0.0, 0.0, -120.26114743047953)	(0.0, 0.0, 1333.1566361872774)
(0.0, 0.0, -316.04284473008755)	(0.0, 0.0, 245.3817918822889)
(0.0, 0.0, 290.00267066817776)	(0.0, 0.0, -509.1590128707733)
(0.0, 0.0, -379.8139033125155)	(0.0, 0.0, 367.77343646453687)
(0.0, 0.0, -40.72422137131828)	(0.0, 0.0, 277.3856938442834)
(0.0, 0.0, -156.03518600732065)	(0.0, 0.0, -122.12488375753762)
(0.0, 0.0, 61.48557527159413)	(0.0, 0.0, -16.480881727721723)
(0.0, 0.0, 156.22149410645343)	(0.0, 0.0, -504.3685166212018)
(0.0, 0.0, -154.29408477317796)	(0.0, 0.0, -342.1830798975761)
(0.0, 0.0, 119.66580334030137)	(0.0, 0.0, -457.04183031306684)
(0.0, 0.0, 227.7247720919473)	(0.0, 0.0, -394.93968724625773)
(0.0, 0.0, 312.9209157736192)	(0.0, 0.0, -164.74636104957068)
(0.0, 0.0, 434.1565565182946)	(0.0, 0.0, -195.30841371214547)
(0.0, 0.0, 654.202382411001)	(0.0, 0.0, 491.48779975755974)
